"","filename","site","elevation","aspect","plot","day.night","measurement","tstart","tfinish","wamb","tav","pav","cav","flux_value_original","flux_nlm","lm_rsqd","non_linear_sigma","aic_lm","aic_nlm","w_prime_min","w_prime_max","suggested.discard","flux","comments","pairID","flag","flux_value"
"44","4_2600_east_2_day_redo2_photo","4","2600","east","2","day","redo2",20,80,21.1447073562126,23.5031357723577,74.8939235772358,418.022113821138,3.36049835615983,2.36933399857775,0.977505633149821,0.520937241745796,8.17842883122148,94.4492297191963,23.4668671024179,29.2249452426598,TRUE,"ET","Redo is better","4_east_2_day_ET","discard_this_keep_other_reading",NA
"45","4_2600_east_2_day_redo_photo","4","2600","east","2","day","redo",20,80,20.643470001325,22.6171596774194,74.8942661290323,419.615346774194,2.98402276997952,2.06881310016036,0.975827233371975,0.488538583459603,-2.18821212839188,86.8723169347845,22.9373236072453,27.7970803779457,FALSE,"ET","This is better","4_east_2_day_ET","manual_flux_time_selection",2.98402276997952
"46","4_2600_east_3_day_photo","4","2600","east","3","day","photo",20,80,23.3825418163058,23.841081147541,74.9273549180328,397.284885245902,3.14487810244221,-0.312378502845319,0.988290396721373,0.360521022263018,-40.3209584450517,51.0158713765957,26.030391020182,31.0435882956344,TRUE,"ET","Redo is better","4_east_3_day_ET","discard_this_keep_other_reading",NA
"47","4_2600_east_3_day_redo_photo","4","2600","east","3","day","redo",20,80,23.1158810891554,24.1938680327869,74.9251713114754,403.678680327869,3.6233214769858,0.777304638714139,0.981624579699703,0.424662531756858,5.00429260583952,70.3377272585369,25.0623647942741,31.0429504655004,FALSE,"ET","This is better","4_east_3_day_ET","manual_flux_time_selection",3.6233214769858
"48","4_2600_east_4_day_photo","4","2600","east","4","day","photo",20,80,20.9496872948583,23.6186783333333,74.9074475,402.741116666667,4.30230825364862,2.47388302914961,0.9691438961982,0.974161158286512,58.1498195748033,168.310996134674,30.554922909339,37.8347860425751,FALSE,"ET",NA,"4_east_4_day_ET","okay",4.30230825364862
"49","4_2600_east_5_day_photo","4","2600","east","5","day","photo",20,80,20.5516779185577,20.5643388059701,74.9046052238806,397.849231343284,2.22256763136427,1.27171116903501,0.935058111595622,0.296989209554051,23.8904390909281,28.141044797693,26.7447499204016,30.5807312114569,TRUE,"ET","Redo is better","4_east_5_day_ET","discard_this_keep_other_reading",NA
"50","4_2600_east_5_day_redo_photo","4","2600","east","5","day","redo",20,80,21.483519708997,22.2343198347107,74.9123694214876,400.426033057851,4.33795400353019,2.88420123890792,0.992146185779173,0.702073094350281,-26.3213439186414,129.661367160215,27.2901687919931,34.5374107349395,FALSE,"ET",NA,"4_east_5_day_ET","okay",4.33795400353019
"51","4_2600_west_1_day_photo","4","2600","west","1","day","photo",20,80,17.9501477524534,14.264343902439,74.8310219512195,394.363170731707,0.870138162053663,0.676692210258905,0.983765339440285,0.0955579668970822,-180.706959358981,-105.666560895576,18.9643531624476,20.4937597827083,FALSE,"ET",NA,"4_west_1_day_ET","okay",0.870138162053663
"52","4_2600_west_2_day_photo","4","2600","west","2","day","photo",20,80,18.3980566266995,15.3475338842975,74.8396694214876,389.942975206612,0.806860505062469,0.540173570184043,0.926221910925374,0.167861437086161,-93.4478852816489,-39.1846749292122,19.6172316127836,20.9626084696199,FALSE,"ET",NA,"4_west_2_day_ET","okay",0.806860505062469
"53","4_2600_west_3_day_photo","4","2600","west","3","day","photo",20,80,17.5368942569343,16.6862788617886,74.8427512195122,393.632650406504,1.33127545291147,0.921731648427413,0.993393673263161,0.195376188866099,-183.263449619884,-21.2736892850396,18.6095897610994,20.8518171315473,FALSE,"ET",NA,"4_west_3_day_ET","okay",1.33127545291147
"54","4_2600_west_4_day_photo","4","2600","west","4","day","photo",20,80,17.7498920213461,17.2961106557377,74.8549049180328,387.478106557377,1.66493448965602,1.09270238267999,0.997448336985024,0.269832418245269,-214.018444588847,16.8254686000345,20.1039016628,22.8802979445732,FALSE,"ET",NA,"4_west_4_day_ET","okay",1.66493448965602
"55","4_2600_west_5_day_photo","4","2600","west","5","day","photo",20,80,17.4183292949537,18.8769569105691,74.8659040650407,388.938788617886,2.41529258348522,1.67162220247495,0.989266851740405,0.367887059823861,-79.8514193843113,53.4025062426908,21.3096253325639,25.2135904363975,FALSE,"ET",NA,"4_west_5_day_ET","okay",2.41529258348522
